Measured_Metric,Sim_Pearson_Log,Sim_Spearman,Sim_RMAE,Sim_RMSE,Sim_R2
L2 Misses,0.6711741815132766,0.7999999999999999,0.8192444469815727,10217677070.905857,-0.8738719295475328
L2 DRead + DWrite,0.5940942205293944,0.7999999999999999,0.7445959501281073,13117559107.735548,-0.36765012208958847
L2 DMisses,0.6711741815132766,0.7999999999999999,0.8192444469815727,10217677070.905857,-0.8738719295475328
L2 Access,0.5858095337167489,0.7999999999999999,0.7246585675822919,10082523652.726692,-0.17010577641113644
LST,0.9197930502690782,1.0,0.847657905786332,11270713651.659475,-1.003349854059779
L3 Misses,0.5672177691805405,0.7999999999999999,0.717636562556622,4239640788.3897614,-2.41283984486497
L3 DRead + DWrite,0.5390907711433085,0.39999999999999997,1.7504179575345504,3413708817.40551,0.3239892791104344
L3 DMisses,0.5672177691805405,0.7999999999999999,0.717636562556622,4239640788.3897614,-2.41283984486497
L3 Access,0.6711981077958684,0.7999999999999999,0.8194699935486707,10258924667.759092,-0.8702130949225357
PAPI FLOPs,0.8025196853830049,0.7999999999999999,1.483851942437133,2135771492.6651204,-17.945699207365983
symbolic_volume_read_bytes,0.2719715633465455,0.0,0.46781441575933064,4087412064.386371,-0.5437002167884115
symbolic_volume_write_bytes,0.30914029346758604,0.39999999999999997,0.8208830232363609,1691668849.201981,-0.04173440225252767
Symbolic Bytes,0.29941524570262856,0.0,0.6513002132157502,6770055730.908596,-1.2220540429650426
